Jurisdiction,Agenda Page
Mendota,http://ci.mendota.ca.us/planning-commission-agendas-and-minutes/
Orange Cove,http://cityoforangecove.com/agendas/
Orange Cove,http://cityoforangecove.com/planning-commission/
Parlier,http://parlier.ca.us/agendas/
Reedley,https://reedley.ca.gov/boards-commissions/planning-commission/planning-commission-agendas-minutes/
Reedley,https://reedley.ca.gov/city-council/city-council-agendas/
San Joaquin,http://www.cityofsanjoaquin.org/government.html
Sanger,https://www.ci.sanger.ca.us/AgendaCenter
Sanger,https://www.ci.sanger.ca.us/AgendaCenter/Planning-Commission-3
Selma,https://www.cityofselma.com/government/city_council/council_meetings___agendas.php
Selma,http://www.cityofselma.com/council/commissions/comm_records.htm#planningcommission
Fresno,https://fresno.legistar.com/Calendar.aspx
Selma,"City of Selma, CA"
Willows,https://www.cityofwillows.org/dept/city-council/city-clerk/city-council-meetings
Willows,https://www.cityofwillows.org/dept/community-development-services-department/planning/planning-commission-meetings
Orland,https://www.cityoforland.com/minutes-agendas/
Trinidad,https://trinidad.ca.gov/documents
Blue Lake,https://bluelake.ca.gov/city-council/council-commissions/planning-commission/
Blue Lake,https://bluelake.ca.gov/city-council/agendas-minutes/
Westmorland,https://www.cityofwestmorland.net/city-clerk/agendas-&-minutes/2021-agendas-&-minutes/
Calipatria,http://www.calipatria.com/council/agendas-&-minutes/
Holtville,https://www.holtville.ca.gov/government/meetings/
Brawley,http://www.brawley-ca.gov/section/City-Council/Agendas-and-Minutes
Brawley,http://www.brawley-ca.gov/section/Planning/Pc-Agenda-and-Minutes
Imperial,https://www.cityofimperial.org/city-council-agenda-archive
Imperial,https://www.cityofimperial.org/planning-agenda-archive
El Centro,https://cityofelcentro.org/cityclerk/meetings-agendas/
El Centro,http://elcentrocityca.iqm2.com/Citizens/calendar.aspx?View=List&From=1/1/2015&To=12/31/2015
Calexico,https://www.calexico.ca.gov/councilagendas
Wasco,"https://www.cityofwasco.org/AgendaCenter/Search/?term=&CIDs=2,&startDate=&endDate=&dateRange=&dateSelector="
Wasco,"https://www.cityofwasco.org/AgendaCenter/Search/?term=&CIDs=3,&startDate=&endDate=&dateRange=&dateSelector="
Vernon,http://www.cityofvernon.org/government/public-meetings/city-council
Industry,https://www.cityofindustry.org/city-hall/city-council
Industry,https://www.cityofindustry.org/city-hall/boards-commissions/planning-commission
Avalon,https://www.cityofavalon.com/129/Agendas-Minutes
Avalon,http://www.cityofavalon.com/content/3180/3372/default.aspx
Hidden Hills,https://hiddenhillscity.org/city-council/live-and-archived-city-council-meeting-broadcasts/
Bradbury,https://www.cityofbradbury.org/city-hall/city-council/agendas-minutes
Bradbury,https://cityofbradbury.org/government/city_council/agendas___minutes.php
Rolling Hills,https://www.rolling-hills.org/government/agenda/index.php
Malibu,https://www.malibucity.org/AgendaCenter/Planning-Commission-4
Malibu,https://www.malibucity.org/AgendaCenter/City-Council-8
Irwindale,https://ca-irwindale2.civicplus.com/AgendaCenter/City-Council-1
Irwindale,https://www.irwindaleca.gov/AgendaCenter/Planning-Commission-3
Westlake Village,http://westlakevillage.granicus.com/viewpublisher.php?view_id=8
La Habra Heights,https://www.lhhcity.org/129/Agendas-Minutes
Rolling Hills Estates,https://www.ci.rolling-hills-estates.ca.us/government/mayor-city-council/agendas-minutes-video
Rolling Hills Estates,https://www.ci.rolling-hills-estates.ca.us/government/mayor-city-council/agendas-minutes-video-531
Palos Verdes Estates,https://www.pvestates.org/government/city-council/city-meetings
Sierra Madre,https://www.cityofsierramadre.com/cms/One.aspx?portalId=212393&pageId=271118
Sierra Madre,https://www.cityofsierramadre.com/cityhall/elected_officials/city_council/agendas_minutes
Bell,https://www.cityofbell.org/?NavID=93
Commerce,https://cityofcommerce.legistar.com/Calendar.aspx
Agoura Hills,https://www.agourahillscity.org/department/city-clerk/commission-meeting-agendas/-fsiteid-1
Agoura Hills,http://agourahills.granicus.com/ViewPublisher.php?view_id=2
Hawaiian Gardens,https://www.hgcity.org/government/city-council/city-council-agendas-videos
Hawaiian Gardens,https://www.hgcity.org/government/boards-commissions-committees/commissions/commission-meetings
Calabasas,https://www.cityofcalabasas.com/government/commissions/planning-commission
Calabasas,https://www.cityofcalabasas.com/government/city-council/current-agenda
Paramount,http://www.paramountcity.com/government/city-council/meeting-agendas-minutes-copy
Paramount,http://www.paramountcity.com/government/city-commissions/planning-commission/community-development-commission-agenda
Maywood,https://www.cityofmaywood.com/290/Agendas-Minutes
Maywood,https://www.cityofmaywood.com/maywood-planning-commission-agendas-minutes
Cudahy,https://www.cityofcudahy.com/AgendaCenter/City-Council-2
Cudahy,https://www.cityofcudahy.com/AgendaCenter/Planning-Commission-3
San Marino,https://www.cityofsanmarino.org/government/agendas___minutes_/2021.php
El Segundo,https://www.elsegundo.org/government/departments/city-clerk/agendas-minutes
El Segundo,https://www.elsegundo.org/our-city/calendar
Bell Gardens,https://www.bellgardens.org/i-want-to/view-agendas
Bell Gardens,https://www.bellgardens.org/government/city-departments/city-clerk/bell-gardens-commissions/planning-commission/-folder-234#docan459_474_565
Signal Hill,https://www.cityofsignalhill.org/Archive.aspx?AMID=42
Signal Hill,https://www.cityofsignalhill.org/Archive.aspx?AMID=38
Hermosa Beach,https://www.hermosabeach.gov/our-community/agendas-minutes-video
South El Monte,https://www.cityofsouthelmonte.org/129/City-Council-Agendas-Minutes
South El Monte,https://www.cityofsouthelmonte.org/373/Agendas-Minutes
La Canada Flintridge,https://cityoflcf.org/city-clerk/agenda-minutes/
Rancho Palos Verdes,https://www.rpvca.gov/772/City-Meeting-Video-and-Agendas
Manhattan Beach,https://www.citymb.info/government/city-council/city-council-meetings-agendas-and-minutes
Manhattan Beach,https://www.citymb.info/departments/boards-and-commissions/planning-commission
Lomita,https://lomitacity.com/agendas-minutes/
Lomita,http://www.lomita.com/cityhall/government/pzbs/pcMeetings/index2021.cfm
Duarte,https://www.accessduarte.com/howdoi/find/agendas/default.htm
Santa Fe Springs,https://www.santafesprings.org/cityhall/planning/planningcommission/default.asp
Santa Fe Springs,https://www.santafesprings.org/council/city_council_meeting_agendas_and_minutes/default.asp
Compton,http://www.comptoncity.org/officials/clerk/agendas/public.asp
Compton,https://www.comptoncity.org/departments/city-clerk/agendas-meetings-and-minutes/city-council-agenda
Artesia,https://ca-artesia2.civicplus.com/AgendaCenter/City-Council-1
Artesia,https://www.cityofartesia.us/AgendaCenter
San Dimas,https://sandimasca.gov/agendas-minutes/
Walnut,https://www.cityofwalnut.org/my-government/meetings-agendas/planning-commission
Walnut,https://www.cityofwalnut.org/my-government/meetings-agendas/city-council
La Verne,https://www.cityoflaverne.org/index.php/government/city-council-agendas
La Verne,https://www.cityoflaverne.org/index.php/documents/agendas-minutes/planning-commission-agendas
Lynwood,http://lynwood.ca.us/document-category/agendas/
Lynwood,http://lynwood.ca.us/notice-category/4yourinfo/
Huntington Park,https://www.hpca.gov/Archive.aspx?AMID=68
Huntington Park,https://www.hpca.gov/Archive.aspx?AMID=35
Monrovia,https://www.cityofmonrovia.org/your-government/city-council/agendas-minutes
Monrovia,https://www.cityofmonrovia.org/your-government/boards-and-commissions/planning-commission/agendas-minutes
Claremont,https://www.ci.claremont.ca.us/government/departments-divisions/city-clerk-s-office/document-archive
Hawthorne,https://www.cityofhawthorne.org/departments/community-services/hawthorne-television/council-meeting-video
San Fernando,https://ci.san-fernando.ca.us/city-council/#1576540627247-9b7a1b63-dbff
San Fernando,https://ci.san-fernando.ca.us/commissions-boards/
Cerritos,http://www.cerritos.us/RESIDENTS/tv3/video_archive.php
Covina,https://covinaca.gov/meetings?field_microsite_tid_1=27
Covina,https://covinaca.gov/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=6&date_filter%5Bvalue%5D%5Bday%5D=4&date_filter%5Bvalue%5D%5Byear%5D=2020&date_filter_1%5Bvalue%5D%5Bmonth%5D=1&date_filter_1%5Bvalue%5D%5Bday%5D=3&date_filter_1%5Bvalue%5D%5Byear%5D=2021&field_microsite_tid=All&field_microsite_tid_1=28
La Puente,http://lapuente.granicus.com/ViewPublisher.php?view_id=3
La Puente,http://lapuente.granicus.com/ViewPublisher.php?view_id=2
La Mirada,https://www.cityoflamirada.org/about-us/agendas-and-minutes
La Mirada,https://www.cityoflamirada.org/about-us/commissions-and-advisory-bodies/planning-commission-agendas-minutes/-toggle-all
Baldwin Park,http://baldwinpark.granicus.com/ViewPublisher.php?view_id=10
South Pasadena,https://www.southpasadenaca.gov/government/city-council-meetings/2021-council-meetings
South Pasadena,https://www.southpasadenaca.gov/government/boards-commissions/planning-commission/test-planning-commission-agendas-minutes-copy
Temple City,https://www.ci.temple-city.ca.us/117/Agendas-Minutes
Temple City,https://www.ci.temple-city.ca.us/363/Planning
Glendora,https://meetings.ci.glendora.ca.us/onbaseagendaonline
Redondo Beach,https://redondo.legistar.com/Calendar.aspx
Redondo Beach,https://www.redondo.org/depts/city_clerk/boards_n_commissions_information/boards_n_commissions/planning.asp
